event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
420,27,Juventus,home, 63 ,Substitution, Filip Kostić , Nicolò Fagioli 
421,27,Juventus,home, 63 ,Substitution, Manuel Locatelli , Leandro Paredes 
422,27,Juventus,home, 73 ,Substitution, Matías Soulé , Ángel Di María 
423,27,Juventus,home, 73 ,Substitution, Juan Cuadrado , Mattia De Sciglio 
424,27,Juventus,home, 75 ,Yellow card, Danilo ,
425,27,Nantes,away, 77 ,Substitution, Florent Mollet , Pedro Chirivella 
426,27,Nantes,away, 77 ,Substitution, Charles Traoré , Marcus Coco 
427,27,Nantes,away, 77 ,Substitution, Moses Simon , Mostafa Mohamed 
428,27,Nantes,away, 83 ,Substitution, Sebastien Corchia , Nicolas Pallois 
429,27,Juventus,home, 86 ,Substitution, Moise Kean , Dušan Vlahović 
430,27,Nantes,away, 88 ,Substitution, Evann Guessand , Jean-Charles Castelletto 
431,27,Nantes,away, 90 ,Yellow card, Sebastien Corchia ,
432,28,Monaco,away, 9 ,Own goal, Lukás Hrádecký , Own goal 
433,28,Bayer Leverkusen,home, 14 ,Yellow card, Edmond Tapsoba ,
434,28,Monaco,away, 45 ,Substitution, Eliesse Ben Seghir , Takumi Minamino 
435,28,Bayer Leverkusen,home, 48 ,Goal, Moussa Diaby , Jeremie Frimpong 
436,28,Bayer Leverkusen,home, 50 ,Yellow card, Florian Wirtz ,
437,28,Bayer Leverkusen,home, 56 ,Substitution, Amine Adli , Moussa Diaby 
438,28,Bayer Leverkusen,home, 59 ,Goal, Florian Wirtz , Amine Adli 
439,28,Monaco,away, 62 ,Substitution, Wissam Ben Yedder , Breel Embolo 
440,28,Monaco,away, 63 ,Yellow card, Mohamed Camara ,
441,28,Bayer Leverkusen,home, 63 ,Yellow card, Amine Adli ,
442,28,Bayer Leverkusen,home, 68 ,Substitution, Odilon Kossounou , Nadiem Amiri 
443,28,Monaco,away, 71 ,Substitution, Ismail Jakobs , Aleksandr Golovin 
444,28,Monaco,away, 71 ,Substitution, Eliot Matazo , Mohamed Camara 
445,28,Monaco,away, 74 ,Goal, Krépin Diatta , Wissam Ben Yedder 
446,28,Monaco,away, 80 ,Substitution, Chrislain Matsima , Ruben Aguilar 
447,28,Monaco,away, 84 ,Yellow card, Guillermo Maripan ,
